customerCode,customerName,customerNotes
CEDI5,CD Power Pty Ltd,25% Discount
CEFA2,Complete Essentials Fire & Air,
CEIN8,Central Infrastructure Sydney,
CEOS3,Ceos Pty Ltd,
CEPA8,Centenial Parklands & The Australian Botanic Garden,
CFETS2,CFE Traffic Surveys,
CFFM-3124,Camberwell Fresh Food Market,
CFJLA2,FJ Lambert & Co Pty Ltd,
CFMA2,CF Manufacturing,
CFPR8,Rockdale Plaza Cmo,
CGGAA6,CGG Aviation (Australia) P/L,
CGSC8,Perron Investments Pty Ltd,
CHAL8D,Atf Challenger North Rocks Tr,
CHAM2,Challenor Marine,
CHCO2,City of Coffs Harbour,
CHDS2,Coffs Harbour Diesel Service,No Discount
CHEN4,Coastal Hydraulics & Engineering Pty Ltd,
CHEW2,Castle Hill Elect W/Salers,
CHIP0,Chiptech Limited,
CHKP0,Chk Power Quality Pty Ltd,
CHKP2,Chk Power Quality Pty Ltd,
CHLI2,Challenger Life Nominees P/L Atf Challenger Lennox Trust,
CHRC8,Central Highlands Regional Council - Duaringa,
CHRE8,Chevron Renaissance Asia Pacific Shopping Centre P/L,
CHSE4,Chubb Service,
CHUBB,Chubb Fire & Security Asia,
CHWA8B,Esperance Boulevarde,
CIGE4,City Generators,15% discount
CIKB8,City of Kalgoorlie-Boulder,
CIMA8A,City of Marion,
CIME2,Cougar Ime Pty Ltd,
CIOR8,City Of Rockingham,
CIPL8,Ausco Benedict Pty Ltd As Trustee Of Benedict Holding Trust 2 (ABN 37628642110),
CIPM8,Kings Cross Centre,Parent company of  SC2011-001
CJPE2,C J Perry,
CLASS2,Classtek Pty Ltd The Metro Centre,
CLCO8,Central Land Council,
CLON4,Cloncurry Shire Council,
CLSC8,SPB Australia Pty Ltd and QIC CM Pty Ltd,
CMPS6,CMPS Supply Solutions,
CMSC2,Snowy Monaro Regional Council,
CNHC8,Calardu Noarlunga P/L Upjay Sa Rents Trust,
CNSW8D,Gordon Centre,
CNSW8N,Primewest Diversified Income,
CNWG4,CNW Pty Ltd,
COAV8,Cobham Aviation Services,
COBPRO,Cobian projects Pty Ltd,
